ENSG	CDS	5utr	3utr	5utr|3utr	intron	intergenic	noncoding_exon	noncoding_intron
ENSG00000166224.12	12	4	27	0	101	0	0	0
ENSG00000102897.5	1	12	1	0	117	0	0	0
ENSG00000092850.7	0	0	1	0	0	0	0	0
ENSG00000010295.15	38	11	22	0	193	0	0	0
ENSG00000260630.2	0	0	0	0	0	0	93	596
ENSG00000234268.1	0	0	0	0	0	0	1	0
ENSG00000147533.12	5	36	1	0	20	0	0	0
ENSG00000254681.2	0	0	0	0	0	0	208	358
ENSG00000106246.13	17	4	3	0	163	0	0	0
ENSG00000203711.7	0	0	0	0	1	0	0	0
ENSG00000168175.10	9	1	6	0	42	0	0	0
ENSG00000206633.1	0	0	0	0	0	0	10	0
ENSG00000117868.11	14	0	7	0	417	0	0	0
ENSG00000229917.2	0	0	0	0	0	0	1	0
ENSG00000174332.3	0	0	0	0	5	0	0	0
ENSG00000042832.7	0	0	0	0	5	0	0	0
ENSG00000177418.1	0	0	0	0	0	0	7	0
ENSG00000159733.9	2	0	1	0	93	0	0	0
ENSG00000125409.8	2	0	0	0	0	0	0	0
ENSG00000220785.3	0	0	0	0	0	0	67	33
ENSG00000117425.9	5	0	7	0	23	0	0	0
ENSG00000034063.9	0	0	0	0	0	0	9	60
ENSG00000140575.8	14	0	5	0	65	0	0	0
ENSG00000254673.1	3	0	0	0	58	0	0	0
ENSG00000272927.1	0	0	0	0	0	0	1	0
ENSG00000263818.1	0	0	0	0	0	0	1	1
ENSG00000106992.13	12	4	3	0	48	0	0	0
ENSG00000167074.10	0	1	18	0	13	0	0	0
ENSG00000143479.11	0	1	0	0	2	0	3	1
ENSG00000261014.1	0	0	0	0	0	0	0	1
ENSG00000223861.1	0	0	0	0	0	0	1	0
ENSG00000108510.5	24	8	10	0	239	0	0	0
ENSG00000232527.3	0	0	0	0	0	0	7	298
ENSG00000206052.6	9	7	7	0	445	0	0	0
ENSG00000261118.1	0	0	0	0	0	0	1	18
ENSG00000085832.12	9	18	1	0	158	0	0	0
ENSG00000237152.2	0	0	0	0	0	0	1	87
ENSG00000269711.1	1	0	9	0	117	0	0	0
ENSG00000251569.1	0	0	0	0	16	0	0	0
ENSG00000100519.7	5	0	0	0	34	0	0	0
ENSG00000121690.5	2	1	0	0	8	0	0	0
ENSG00000080371.4	7	12	9	0	30	0	0	0
ENSG00000270937.1	0	0	0	0	0	0	3	0
ENSG00000117010.11	1	0	0	0	28	0	0	0
ENSG00000182158.10	37	6	73	0	747	0	0	0
ENSG00000151320.6	0	0	0	0	19	0	0	0
ENSG00000228434.1	0	0	0	0	0	0	6	5
ENSG00000171444.13	0	1	0	0	32	0	0	0
ENSG00000081842.13	0	0	1	0	2	0	0	0
ENSG00000149781.8	3	1	1	0	66	0	0	0
ENSG00000039560.9	3	4	3	0	142	0	0	0
ENSG00000251629.2	0	0	0	0	0	0	0	3
ENSG00000101745.11	7	11	2	0	204	0	0	0
ENSG00000162032.11	28	1	21	0	97	0	0	0
ENSG00000111775.2	3	0	1	0	0	0	0	0
ENSG00000214402.6	0	0	0	0	1	0	0	0
ENSG00000167881.10	21	0	6	0	114	0	0	0
ENSG00000232907.3	0	0	0	0	0	0	11	851
ENSG00000169957.8	63	70	31	0	206	0	0	0
ENSG00000137760.10	0	4	0	0	30	0	0	0
ENSG00000248787.1	0	0	0	0	0	0	0	2
ENSG00000168894.5	12	0	3	0	10	0	0	0
ENSG00000259318.1	0	0	0	0	0	0	1	0
ENSG00000135709.8	3	0	17	0	73	0	0	0
ENSG00000237296.5	0	0	0	0	0	0	14	16
ENSG00000244306.5	0	0	0	0	0	0	27	369
ENSG00000272679.1	0	0	0	0	0	0	22	1404
ENSG00000260804.2	0	0	0	0	0	0	4	0
ENSG00000233991.2	0	0	0	0	0	0	0	1
ENSG00000106443.10	16	19	1	0	222	0	0	0
ENSG00000197372.5	1	2	0	0	13	0	0	0
ENSG00000265334.1	0	0	0	0	0	0	1	9
ENSG00000263904.1	0	0	0	0	0	0	1	0
ENSG00000128191.9	207	84	12	0	819	0	0	0
ENSG00000181555.15	24	5	2	0	259	0	0	0
ENSG00000237788.1	0	0	0	0	0	0	5	1
ENSG00000271774.1	0	0	0	0	0	0	0	365
